Date,Open,High,Low,Close
April-11,403.13,414.61,360,363.25
May-11,365.59,369.12,344.63,348.99
June-11,349.25,364.5,332.57,363.43
July-11,366.25,377.5,338.63,345.85
August-11,347.5,352.5,271.13,292.85
September-11,296.25,320.99,272.89,316.73
October-11,310.38,371.42,302.5,359.4
November-11,355.02,359.35,313.17,325.95
December-11,333.13,350,329.38,345.64
January-12,345.49,361.92,319.38,342.92
February-12,342.72,373.75,336.99,359.43
March-12,358.13,364.42,346.25,358.12
April-12,358.13,360.97,275,307.83
May-12,308.25,312.25,286.64,304.99
June-12,305,318.05,293.13,312.82
July-12,312.13,314.88,262.71,278.43
August-12,278.63,309.73,273.27,296.66
September-12,296.38,331.09,288.75,316.75
October-12,318.52,327.5,288.47,295.44
November-12,295,309.63,284.87,304.58
December-12,305.25,306.63,280.64,289.82
January-13,290.64,354.38,287.86,348.6
February-13,348.63,371.25,342.5,363.25
March-13,361.25,376.25,351.88,361.24
April-13,362.9,374.38,273.75,279.31
May-13,279.87,303.97,279.82,300.95
June-13,315.6,328.12,292.88,311.66
July-13,307.5,373.73,299.11,370.9
August-13,372.13,391.12,365.38,387.54
September-13,383.25,396.59,372.5,376.94
October-13,377.75,421.5,374.25,413.59
November-13,413.12,430.99,404.25,419.19
December-13,419.25,446.88,413.75,435.69
January-14,436.38,474.88,427.17,462.44
February-14,460.63,479.02,442.58,477.53
March-14,477.88,480.9,402.13,409.86
April-14,410.63,421.48,392.88,397.15
May-14,397.82,417.18,361.75,367.69
June-14,368.75,416.88,368.75,405.81
July-14,405.75,428.67,398.53,420.72
August-14,420,456.1,416.5,449.25
September-14,450.66,474.12,444.57,468.46
October-14,468.75,508.75,450,506.44
November-14,509.38,549.88,504.35,544.91
December-14,548.5,550.13,474.5,492.8
January-15,491.95,555.5,478.53,535.69
February-15,535,583.8,525.77,573.72
March-15,575,578.38,532.5,554.15
April-15,552.35,561,483.17,485.6
May-15,490.25,515.25,477.5,505.6
June-15,507.5,515.75,484.25,492.68
July-15,495,563.88,466.28,539.03
August-15,540,593,522.5,547.6
September-15,544.98,582.68,526.18,580.23
October-15,584.95,609.5,543.55,568.03
November-15,565,577.8,506.13,544.23
December-15,544.25,555,511.75,552.28
January-16,550,584.85,515.93,582.43
February-16,585,596.8,533.5,541.88
March-16,549,617.33,544.5,608.98
April-16,606,633.95,575.7,605.43
May-16,607,635,585.78,624.93
June-16,620.5,639,578,585.38
July-16,590,597.53,528,536.98
August-16,537,547,504.6,518.4
September-16,518,534.33,512,519.05
October-16,519.05,540.35,497,501.25
November-16,504.93,504.93,450.15,487.73
